delhi       Indira_Gandhi_International_Airport 
mumbai     Chhatrapati_Shivaji_Maharaj_International_Airport 
chennai        International_Airport_Chennai 
kolkata        Netaji_Subhas_Chandra_Bose_International_Airport 
kochi          Cochin_International_Airport 
dabolim        Goa_International_Airport 
kerala	     Calicut_International_Airport 
kerala	    Cochin_International_Airport 
tripura	   Maharaja_Bir_Bikram_Airport 
kerala	    Kannur_International_Airport 
kerala      Trivandrum_International_Airport 
pune           Pune_Airport  
manipur  	Bir_Tikendrajit_International_Airport 	
odisha   	Biju_Patnaik_International_Airport 
punjab	   Sri_Guru_Ram_Dass_Jee_International_Airport	
rajasthan	Jaipur_International_Airport 
tamil_nadu	Chennai_International_Airport 
tamil_nadu	Coimbatore_International_Airport 
tamil_nadu	Madurai_International_Airport	
telangana	Rajiv_Gandhi_International_Airport
uttar_pradesh	Chaudhary_Charan_Singh_International_Airport 
uttar_pradesh	Lal_Bahadur_Shastri_International_Airport 
west_bengal	Bagdogra_International_Airport	
west_bengal	Netaji_Subhas_Chandra_Bose_International_Airport 
bengaluru   Kempegowda_International_Airport 
hyderabad   Rajiv_Gandhi_International_Airport 
ahmedabad   Sardar_Vallabhbhai_Patel_International_Airport  
mangalore    Managalore_Airport 
madhya_Pradesh	Devi_Ahilya_Bai_Holkar_International_Airport 	
maharashtra	   Chhatrapati_Shivaji_Maharaj_International_Airport 
maharashtra	  Dr.Babasaheb_Ambedkar_International_Airport 
maharashtra	  Pune_International_Airport 

